stop_id;stop_name
U27501Z2;Hoštice-Heroltice
U17514Z21;Ivanovice na Hané, aut. st.
U27502Z2;Chvalkovice na Hané
U27503Z2;Nezamyslice
U27503Z1;Nezamyslice
U27502Z1;Chvalkovice na Hané
U17514Z20;Ivanovice na Hané, aut. st.
U27501Z1;Hoštice-Heroltice
U17446Z10;Vyškov, železniční stanice
U15637Z10;Hrušovany nad Jevišovkou, žel. st.
U18208Z10;Božice, železniční stanice
U28101Z10;Hodonice
U28102Z10;Dyje
U18009Z20;Znojmo, autobusové nádraží
U15729Z14;Břeclav, autobusové nádraží
U15828Z10;Valtice, železniční zastávka
U15811Z10;Valtice, železniční stanice
U25701Z10;Sedlec u Mikulova
U15714Z10;Mikulov, železniční stanice
U25601Z10;Březí
U25602Z10;Dobré Pole
U15563Z10;Novosedly, železniční stanice
U25505Z10;Jevišovka
U25702Z10;Boří les
U15637Z11;Hrušovany nad Jevišovkou, žel. st.
U25505Z11;Jevišovka
U15563Z11;Novosedly, železniční stanice
U25602Z11;Dobré Pole
U25601Z11;Březí
U15714Z11;Mikulov, železniční stanice
U25701Z11;Sedlec u Mikulova
U15811Z11;Valtice, železniční stanice
U15828Z11;Valtice, železniční zastávka
U25702Z11;Boří les
U15729Z15;Břeclav, autobusové nádraží
U18009Z21;Znojmo, autobusové nádraží
U28102Z11;Dyje
U28101Z11;Hodonice
U18208Z11;Božice, železniční stanice
U11002Z11;Brno-Horní Heršpice
U15135Z11;Popovice, u tratě
U15181Z11;Rajhrad, železniční stanice
U25201Z11;Vojkovice nad Svratkou, žel. st.
U15222Z11;Hrušovany u Brna, žel. st.
U15306Z11;Žabčice, žel. st.
U15307Z11;Vranovice, žel.st.
U25401Z11;Pouzdřany
U25402Z11;Popice
U15425Z11;Šakvice, železniční stanice
U15403Z11;Hustopeče, autobusové nádraží
U15403Z10;Hustopeče, autobusové nádraží
U15425Z10;Šakvice, železniční stanice
U25402Z10;Popice
U25401Z10;Pouzdřany
U15307Z10;Vranovice, žel.st.
U14557Z1;Miroslav, Kašenec, státní silnice
U15306Z10;Žabčice, žel. st.
U15222Z10;Hrušovany u Brna, žel. st.
U15181Z10;Rajhrad, železniční stanice
U15140Z10;Modřice, železniční stanice
U1331Z10;Lesná, nádraží
U1557Z10;Řečkovice, nádraží
U13109Z10;Česká, železniční stanice
U13206Z10;Čebín, železniční stanice
U13306Z10;Hradčany, železniční stanice
U13411Z10;Dolní Loučky, železniční stanice
U13425Z10;Řikonín, železniční stanice
U13454Z10;Níhov, železniční stanice
U30008Z1;Vlkov u Tišnova
U15557Z1;Mackovice, rozcestí
U18217Z1;Oleksovice, rozcestí
U18215Z1;Lechovice, zámek
U18214Z1;Lechovice, obecní úřad
U18058Z2;Znojmo, nám.Republiky
U15324Z2;Pohořelice, Velký Dvůr
U15316Z2;Pohořelice, Mariánský dvůr
U15326Z2;Pohořelice, Vilémov
U14543Z3;Hostěradice, náměstí
U18224Z1;Vítonice
U18221Z1;Prosiměřice, u bufetu
U18135Z1;Těšetice, na hlavní
U18116Z1;Suchohrdly, Purkrábka
U18115Z1;Suchohrdly, kurty
U18110Z2;Suchohrdly, prodejna
U18002Z2;Znojmo, Suchohrdelská, hřbitov
U1696Z13;ÚAN Zvonařka
U14552Z4;Miroslav, rozcestí
U14551Z2;Miroslav, Réna
U14550Z2;Miroslav, provozovna ČAS
U14554Z2;Miroslav, statek
U14546Z2;Miroslav, autobusové nádraží
U14546Z3;Miroslav, autobusové nádraží
U14554Z1;Miroslav, statek
U14550Z1;Miroslav, provozovna ČAS
U14551Z1;Miroslav, Réna
U14558Z1;Miroslav, Kašenec, točna
U14552Z13;Miroslav, rozcestí
U14548Z2;Miroslav, jesle
U14542Z2;Hostěradice, lom
U14543Z1;Hostěradice, náměstí
U14543Z2;Hostěradice, náměstí
U14542Z1;Hostěradice, lom
U14548Z1;Miroslav, jesle
U18009Z3;Znojmo, autobusové nádraží
U18002Z1;Znojmo, Suchohrdelská, hřbitov
U18110Z1;Suchohrdly, prodejna
U18115Z2;Suchohrdly, kurty
U18116Z2;Suchohrdly, Purkrábka
U18135Z2;Těšetice, na hlavní
U18117Z1;Bantice
U18222Z1;Stošíkovice na Louce
U18223Z1;Stošíkovice na Louce, rozcestí
U18219Z2;Prosiměřice, hostinec
U18224Z2;Vítonice
U18218Z2;Oleksovice, u potoka
U14543Z6;Hostěradice, náměstí
U14552Z3;Miroslav, rozcestí
U15550Z2;Damnice
U15551Z1;Dolenice
U15551Z2;Dolenice
U15550Z1;Damnice
U15552Z3;Jiřice u Miroslavi
U14552Z14;Miroslav, rozcestí
U14565Z2;Suchohrdly u Miroslavi
U15632Z3;Hrušovany nad Jevišovkou, Lidická, VÚPP
U15636Z2;Hrušovany nad Jevišovkou, Znojemská
U15638Z2;Pravice
U15546Z2;Břežany, u hostince
U15547Z2;Břežany, u pošty
U15548Z2;Břežany, u statku
U15566Z2;Břežany, osada Ležák
U16353Z1;Kašnice
U16356Z1;Klobouky u Brna, hřbitov
U16342Z2;Borkovany, Štoček
U16340Z2;Borkovany
U16341Z2;Borkovany, Tomášov
U1696Z7;ÚAN Zvonařka
U1266Z3;Konopná
U1256Z3;Komárov
U1533Z1;Ráječek
U1191Z1;Ivanovické náměstí
U1131Z7;Hanácká
U1681Z3;Tuřany, smyčka
U16147Z1;Sokolnice, rozvodna
U16138Z3;Telnice
U15167Z2;Měnín, rozcestí
U15232Z1;Moutnice, Rozařín
U15223Z1;Moutnice, střed
U15227Z1;Těšany, u váhy
U15226Z1;Těšany
U16341Z1;Borkovany, Tomášov
U16340Z1;Borkovany
U16342Z1;Borkovany, Štoček
U16344Z1;Klobouky u Brna, Martinice, rozcestí
U16347Z1;Klobouky u Brna, rozcestí
U16345Z1;Klobouky u Brna, náměstí
U16353Z2;Kašnice
U16466Z1;Krumvíř, supermarket
U16457Z1;Krumvíř, obecní úřad
U16461Z1;Krumvíř, železniční stanice
U16460Z1;Krumvíř, statek
U16462Z1;Terezín
U16545Z1;Čejč, náměstí
U16554Z1;Hovorany, rozcestí
U16551Z1;Hovorany, čerpací stanice
U19104Z1;Mutěnice, škola
U19103Z1;Mutěnice, křižovatka
U19015Z1;Hodonín, Zbrod
U15531Z1;Velké Pavlovice, obchodní středisko
U16905Z1;Bzenec, Přívoz, železniční stanice
U16917Z1;Bzenec, Přívoz
U19204Z1;Strážnice, ATC
U19207Z1;Strážnice, náměstí 17. listopadu
U19205Z51;Strážnice, aut. st.
U19205Z2;Strážnice, aut. st.
U19207Z2;Strážnice, náměstí 17. listopadu
U19204Z2;Strážnice, ATC
U16917Z2;Bzenec, Přívoz
U16900Z2;Bzenec, Doubrava
U16907Z2;Bzenec, ZŠ
U16901Z2;Bzenec, náměstí
U16903Z2;Bzenec, Nový Svět
U16822Z2;Vracov, obecní úřad
U16823Z2;Vracov, Slokov
U16820Z2;Vlkoš, Tesko
U16817Z2;Vlkoš
U1106Z2;Faměrovo náměstí
U1662Z2;Textilní kombinát
U1563Z2;Psychiatrická nemocnice
U1207Z2;Jiránkova
U1144Z2;Hladíkova
U1011Z3;Autobusové nádraží
U1716Z3;Úzká
U16439Z1;Násedlovice
U16438Z1;Násedlovice, u hřiště
U16437Z1;Násedlovice, mlýn
U1716Z4;Úzká
U1463Z2;Opuštěná
U1011Z4;Autobusové nádraží
U1144Z1;Hladíkova
U1207Z1;Jiránkova
U1563Z1;Psychiatrická nemocnice
U1662Z1;Textilní kombinát
U1106Z1;Faměrovo náměstí
U30305Z1;Osová Bítýška
U16608Z1;Kyjov, aut. st.
U16437Z2;Násedlovice, mlýn
U16438Z2;Násedlovice, u hřiště
U16439Z2;Násedlovice
U16608Z14;Kyjov, aut. st.
U16619Z2;Sobůlky, ZD
U16620Z2;Sobůlky
U16531Z2;Věteřov
U16526Z2;Dražůvky, rozcestí
U16901Z3;Bzenec, náměstí
U16527Z3;Dražůvky
U16526Z1;Dražůvky, rozcestí
U16531Z1;Věteřov
U16620Z1;Sobůlky
U16619Z1;Sobůlky, ZD
U17423Z7;Vyškov, Autobusové nádraží
U17429Z2;Vyškov, garáže ČSAD
U17435Z2;Vyškov, Nouzka
U17428Z2;Vyškov, Drnovská Bioveta
U17328Z2;Luleč, rozcestí
U17344Z2;Tučapy, rozcestí
U17311Z4;Komořany, EDP
U17331Z2;Rousínov, Čechyně, rozcestí
U17335Z3;Rousínov, autobusová stanice
U1696Z5;ÚAN Zvonařka
U17335Z2;Rousínov, autobusová stanice
U17331Z1;Rousínov, Čechyně, rozcestí
U15528Z51;Velké Pavlovice, autobusové nádraží
U17311Z3;Komořany, EDP
U17344Z1;Tučapy, rozcestí
U17328Z1;Luleč, rozcestí
U17428Z1;Vyškov, Drnovská Bioveta
U17435Z1;Vyškov, Nouzka
U17429Z1;Vyškov, garáže ČSAD
U17423Z21;Vyškov, Autobusové nádraží
U17335Z6;Rousínov, autobusová stanice
U17343Z1;Tučapy, obecní úřad
U17317Z1;Nemojany
